Entry	Status	Protein names	Organism	Length	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (KEGG)	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q6BWW1	unreviewed	Ribose-phosphate diphosphokinase (EC 2.7.6.1)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	419	DEHA2B08096g		dha:DEHA2B08096g;	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]		ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]
Q6BP00	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	162	DEHA2E17710g		dha:DEHA2E17710g;	mitochondrial intermembrane space [GO:0005758]; Set3 complex [GO:0034967]; cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; ascospore formation [GO:0030437]; histone deacetylation [GO:0016575]; positive regulation of meiotic nuclear division [GO:0045836]; protein folding [GO:0006457]	ascospore formation [GO:0030437]; histone deacetylation [GO:0016575]; positive regulation of meiotic nuclear division [GO:0045836]; protein folding [GO:0006457]	mitochondrial intermembrane space [GO:0005758]; Set3 complex [GO:0034967]	cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
Q6BN28	unreviewed	DEHA2F00748p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	526	DEHA2F00748g		dha:DEHA2F00748g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
Q6BXD1	unreviewed	DEHA2B04070p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	887	DEHA2B04070g		dha:DEHA2B04070g;	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
Q6BPE1	unreviewed	DEHA2E14344p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	647	DEHA2E14344g		dha:DEHA2E14344g;	guanyl-nucleotide exchange factor activity [GO:0005085]			guanyl-nucleotide exchange factor activity [GO:0005085]
Q6BRB9	unreviewed	DEHA2D17578p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	760	DEHA2D17578g		dha:DEHA2D17578g;				
Q6BZ86	unreviewed	Obg-like ATPase 1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	396	DEHA2A03212g	OLA1	dha:DEHA2A03212g;	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]		cytoplasm [GO:0005737]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]
Q6BV72	unreviewed	DEHA2C04840p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	151	DEHA2C04840g		dha:DEHA2C04840g;				
Q6BJ83	unreviewed	DEHA2G04422p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	333	DEHA2G04422g		dha:DEHA2G04422g;				
Q6BJB1	unreviewed	DEHA2G03784p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	506	DEHA2G03784g		dha:DEHA2G03784g;	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]		chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]	
Q6BUK9	unreviewed	DEHA2C09812p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	514	DEHA2C09812g		dha:DEHA2C09812g;	integral component of membrane [GO:0016021]; lipid metabolic process [GO:0006629]	lipid metabolic process [GO:0006629]	integral component of membrane [GO:0016021]	
Q6BUF8	unreviewed	DEHA2C11000p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1091	DEHA2C11000g		dha:DEHA2C11000g;	cytoplasm [GO:0005737]; nuclear periphery [GO:0034399]; nuclear import signal receptor activity [GO:0061608]; protein import into nucleus [GO:0006606]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]	protein import into nucleus [GO:0006606]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]	cytoplasm [GO:0005737]; nuclear periphery [GO:0034399]	nuclear import signal receptor activity [GO:0061608]
Q6BI76	unreviewed	DEHA2G12848p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	134	DEHA2G12848g		dha:DEHA2G12848g;				
Q6BNF5	unreviewed	DEHA2E22176p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	334	DEHA2E22176g		dha:DEHA2E22176g;	NMS complex [GO:0031617]; protein localization to kinetochore [GO:0034501]	protein localization to kinetochore [GO:0034501]	NMS complex [GO:0031617]	
Q6BYU2	unreviewed	Casein kinase II subunit beta (CK II beta)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	283	DEHA2A06952g		dha:DEHA2A06952g;	protein kinase CK2 complex [GO:0005956]; protein kinase regulator activity [GO:0019887]		protein kinase CK2 complex [GO:0005956]	protein kinase regulator activity [GO:0019887]
Q6BUD4	unreviewed	DEHA2C11748p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	81	DEHA2C11748g		dha:DEHA2C11748g;				
Q6BV19	unreviewed	DEHA2C06028p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	945	DEHA2C06028g		dha:DEHA2C06028g;	cysteine-type peptidase activity [GO:0008234]			cysteine-type peptidase activity [GO:0008234]
Q6BIF2	unreviewed	Cysteine desulfurase (EC 2.8.1.7)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	481	DEHA2G10956g		dha:DEHA2G10956g;	cysteine desulfurase activity [GO:0031071]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; pyridoxal phosphate binding [GO:0030170]; [2Fe-2S] cluster assembly [GO:0044571]	[2Fe-2S] cluster assembly [GO:0044571]		cysteine desulfurase activity [GO:0031071]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; pyridoxal phosphate binding [GO:0030170]
Q6BLB7	unreviewed	DEHA2F14806p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	969	DEHA2F14806g		dha:DEHA2F14806g;	microtubule [GO:0005874]		microtubule [GO:0005874]	
B5RTI5	unreviewed	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	583	DEHA2D14894g		dha:DEHA2D14894g;	3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]; aromatic amino acid family biosynthetic process [GO:0009073]	aromatic amino acid family biosynthetic process [GO:0009073]		3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]
Q6BIN6	unreviewed	DEHA2G08932p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	539	DEHA2G08932g		dha:DEHA2G08932g;	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	
Q6BH69	unreviewed	DEHA2G20922p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	807	DEHA2G20922g		dha:DEHA2G20922g;	lipid catabolic process [GO:0016042]	lipid catabolic process [GO:0016042]		
Q6BJ24	unreviewed	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	365	DEHA2G05786g		dha:DEHA2G05786g;	mitochondrion [GO:0005739]; isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	mitochondrion [GO:0005739]	isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]
Q6BX39	unreviewed	DEHA2B06204p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	396	DEHA2B06204g		dha:DEHA2B06204g;	integral component of membrane [GO:0016021]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; phospholipid biosynthetic process [GO:0008654]	phospholipid biosynthetic process [GO:0008654]	integral component of membrane [GO:0016021]	phosphotransferase activity, for other substituted phosphate groups [GO:0016780]
Q6BQK2	unreviewed	MICOS complex subunit MIC12 (Altered inheritance of mitochondria protein 5, mitochondrial) (Found in mitochondrial proteome protein 51)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	123	DEHA2E04554g		dha:DEHA2E04554g;	MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; cristae formation [GO:0042407]	cristae formation [GO:0042407]	MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]	
B5RTV1	unreviewed	DEHA2E04466p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	855	DEHA2E04466g		dha:DEHA2E04466g;	endoplasmic reticulum [GO:0005783]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	endoplasmic reticulum [GO:0005783]	
Q6BMG7	unreviewed	DEHA2F05588p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	356	DEHA2F05588g		dha:DEHA2F05588g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BRS0	unreviewed	DEHA2D14300p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	332	DEHA2D14300g		dha:DEHA2D14300g;				
Q6BS13	unreviewed	DEHA2D12342p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	159	DEHA2D12342g		dha:DEHA2D12342g;				
Q6BXI8	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	338	DEHA2B02596g		dha:DEHA2B02596g;	L-malate dehydrogenase activity [GO:0030060]; carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]		L-malate dehydrogenase activity [GO:0030060]
Q6BQ67	unreviewed	DEHA2E07898p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	797	DEHA2E07898g		dha:DEHA2E07898g;	mitochondrion [GO:0005739]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; translation [GO:0006412]	methylation [GO:0032259]; translation [GO:0006412]	mitochondrion [GO:0005739]	methyltransferase activity [GO:0008168]
Q6BWT9	unreviewed	DEHA2B08602p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	252	DEHA2B08602g		dha:DEHA2B08602g;	aminoacyl-tRNA hydrolase activity [GO:0004045]			aminoacyl-tRNA hydrolase activity [GO:0004045]
Q6BHF2	unreviewed	DEHA2G19074p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	853	DEHA2G19074g		dha:DEHA2G19074g;				
Q6BUG9	unreviewed	DEHA2C10736p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	138	DEHA2C10736g		dha:DEHA2C10736g;	mitochondrion [GO:0005739]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]	mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]	mitochondrion [GO:0005739]	
Q6BVX8	unreviewed	SAICAR synthetase (EC 6.3.2.6)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	308	DEHA2B15862g		dha:DEHA2B15862g;	ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]; 'de novo' IMP biosynthetic process [GO:0006189]	'de novo' IMP biosynthetic process [GO:0006189]		ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]
Q6BLT0	unreviewed	DEHA2F10956p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	59	DEHA2F10956g		dha:DEHA2F10956g;				
Q6BX15	unreviewed	DEHA2B06798p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	165	DEHA2B06798g		dha:DEHA2B06798g;	mitochondrion [GO:0005739]; ribosome [GO:0005840]		mitochondrion [GO:0005739]; ribosome [GO:0005840]	
Q6BMA6	unreviewed	DEHA2F07084p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	139	DEHA2F07084g		dha:DEHA2F07084g;				
Q6BWC7	unreviewed	DEHA2B12364p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1242	DEHA2B12364g		dha:DEHA2B12364g;				
Q6BX85	unreviewed	DEHA2B05104p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	371	DEHA2B05104g		dha:DEHA2B05104g;	oxidoreductase activity [GO:0016491]			oxidoreductase activity [GO:0016491]
Q6BNT8	unreviewed	DEHA2E19085p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	310	DEHA2E19085g		dha:DEHA2E19085g;				
Q6BQ06	unreviewed	DEHA2E09328p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	604	DEHA2E09328g		dha:DEHA2E09328g;	nuclear membrane [GO:0031965]; nuclear pore central transport channel [GO:0044613]; identical protein binding [GO:0042802]; structural constituent of nuclear pore [GO:0017056]; NLS-bearing protein import into nucleus [GO:0006607]; nuclear pore organization [GO:0006999]; protein localization to nuclear inner membrane [GO:0036228]	NLS-bearing protein import into nucleus [GO:0006607]; nuclear pore organization [GO:0006999]; protein localization to nuclear inner membrane [GO:0036228]	nuclear membrane [GO:0031965]; nuclear pore central transport channel [GO:0044613]	identical protein binding [GO:0042802]; structural constituent of nuclear pore [GO:0017056]
Q6BMM6	unreviewed	DEHA2F04114p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	331	DEHA2F04114g		dha:DEHA2F04114g;				
Q6BS94	unreviewed	DEHA2D10582p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	149	DEHA2D10582g		dha:DEHA2D10582g;	calcium ion binding [GO:0005509]			calcium ion binding [GO:0005509]
Q6BMA7	unreviewed	DEHA2F07062p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	280	DEHA2F07062g		dha:DEHA2F07062g;				
B5RU43	unreviewed	DEHA2E19074p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	851	DEHA2E19074g		dha:DEHA2E19074g;				
Q6BVZ5	unreviewed	DEHA2B15510p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	131	DEHA2B15510g		dha:DEHA2B15510g;	prefoldin complex [GO:0016272]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	protein folding [GO:0006457]	prefoldin complex [GO:0016272]	unfolded protein binding [GO:0051082]
Q6BSG5	unreviewed	DEHA2D08998p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	296	DEHA2D08998g		dha:DEHA2D08998g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BKZ6	unreviewed	DEHA2F17556p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	153	DEHA2F17556g		dha:DEHA2F17556g;	protein transport [GO:0015031]	protein transport [GO:0015031]		
B5RUQ2	unreviewed	DEHA2G10692p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	670	DEHA2G10692g		dha:DEHA2G10692g;	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; cellular potassium ion homeostasis [GO:0030007]	cellular potassium ion homeostasis [GO:0030007]		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
Q6BPU3	unreviewed	DEHA2E10802p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	475	DEHA2E10802g		dha:DEHA2E10802g;				
B5RSU2	unreviewed	Kinesin-like protein	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	926	DEHA2A09812g		dha:DEHA2A09812g;	microtubule plus-end [GO:0035371]; mitotic spindle astral microtubule [GO:0061673]; nuclear microtubule [GO:0005880]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; microtubule binding [GO:0008017]; tubulin-dependent ATPase activity [GO:0070463]; establishment of mitotic spindle orientation [GO:0000132]; meiotic sister chromatid segregation [GO:0045144]; mitotic spindle assembly [GO:0090307]; mitotic spindle disassembly [GO:0051228]; negative regulation of microtubule polymerization [GO:0031115]; nuclear migration along microtubule [GO:0030473]; plus-end specific microtubule depolymerization [GO:0070462]; regulation of mitotic spindle elongation [GO:0032888]	establishment of mitotic spindle orientation [GO:0000132]; meiotic sister chromatid segregation [GO:0045144]; mitotic spindle assembly [GO:0090307]; mitotic spindle disassembly [GO:0051228]; negative regulation of microtubule polymerization [GO:0031115]; nuclear migration along microtubule [GO:0030473]; plus-end specific microtubule depolymerization [GO:0070462]; regulation of mitotic spindle elongation [GO:0032888]	microtubule plus-end [GO:0035371]; mitotic spindle astral microtubule [GO:0061673]; nuclear microtubule [GO:0005880]	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; microtubule binding [GO:0008017]; tubulin-dependent ATPase activity [GO:0070463]
